tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
1545097,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1176.198684,16.409917,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CXD99,FABRICATION DE JEUX ET JOUETS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,21,0
1545102,812851.745,675655.74,-811235.73,675655.74,-810239.14,174000,0.0,174000.0,1659.588726,30348.182819,15.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CEB01,TISSAGE INDUSTRIEL,CE,INDUSTRIE MANUFACTURIERE,KSIBET EL MEDIOUNI,6,0
1545128,6950.0,6950.0,-6512.15,6950.0,-6488.46,0,0.0,0.0,23.330419,105.477304,94.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CQH05,FABRICATION ARTISANALE D'OUVRAGES TRADITIONNELS EN METAUX,CQ,INDUSTRIE MANUFACTURIERE,BOU HAJAR,21,0
1545318,139474.073,0.0,-740.22,2971426.56,-3521324.16,12421,0.0,12421.0,3297.561641,12557.542717,134.0579981290926,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FCD99,AUTRES TRAVAUX DE CONSTRUCTION SPECIALISES N.C.A.,FC,CONSTRUCTION,SOUSSE,6,0
1545324,139474.073,0.0,-129.92,0.0,-125.96,0,0.0,0.0,420.201931,0.0,134.0579981290926,0.0,P9904,SANS PROFESSION,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ ALOUI,21,1
1545347,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P0401,DIRIGEANTS / GERANTS D'ENTREPRISES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SFAX,2,1
1545383,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P0504,PHARMACIENS LIBERAUX,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MENZEL ENNOUR,19,1
1545415,139474.073,0.0,-180.54,0.0,-176.97,0,0.0,0.0,274.450315,364.190342,134.0579981290926,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,19,1
1545422,1809.6,1813.76,-5568.19,1813.76,-4323.97,"87307,394",87307.394,0.0,105061.830553,165.616263,101.0,5.0,P0907,ARTISANS DANS LA METALLURGIE ET L'AUTOMOBILE ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,7,1
1545426,2171604.244,2391412.14,-2541439.22,2274514.62,-2535076.11,"349530,658",0.0,0.0,186555.610276,7283.194983,87.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CLD01,"FABRICATION DE SAVONS, DETERGENTS ET PRODUITS D'ENTRETIEN",CL,INDUSTRIE MANUFACTURIERE,KSIBET EL MEDIOUNI,5,0
1545429,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,HAD01,TRANSPORTS ROUTIERS DE FRET,HA,TRANSPORTS ET ENTREPOSAGE,KSIBET EL MEDIOUNI,10,0
1545488,2547.809,2547.81,-638.18,2547.81,-489.1,0,0.0,0.0,1501.650624,0.0,134.0579981290926,0.0,P1904,CONDUCTEURS DANS LE TRANSPORT DE MARCHANDISES,HAD01,TRANSPORTS ROUTIERS DE FRET,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,16,1
1545511,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,652.426619,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GCE04,COMMERCE DE DETAIL D'APPAREILS ELECTROMENAGERS EN MAGASIN SPECIALISE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,15,0
1545564,73073.318,73973.64,-69815.52,73973.64,-69397.94,"481,681",0.0,0.0,3160.247082,629.511528,25.0,0.0,P1402,CADRES COMMERCIAUX,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,LA SOUKRA,2,1
1545585,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,134.0579981290926,0.0,P1004,COMMERCANT DANS L'HABILLEMENT ET CHAUSSURES,GBD02,COMMERCE DE GROS D'HABILLEMENT ET DE CHAUSSURES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SFAX HACHED,6,1
1545592,42901.361,46151.14,-43230.1,46151.14,-41879.75,"24738,634",4602.579,0.0,3884.304668,200.036895,99.0,0.0,P0401,DIRIGEANTS / GERANTS D'ENTREPRISES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,2,1
